X,Y
0.0392699,4.66843e-08
0.0785398,1.86276e-07
0.11781,4.17588e-07
0.15708,7.38787e-07
0.19635,1.1474e-06
0.235619,1.64035e-06
0.274889,2.21396e-06
0.314159,2.864e-06
0.353429,3.58571e-06
0.392699,4.37385e-06
0.431969,5.22273e-06
0.471239,6.12626e-06
0.510509,7.07802e-06
0.549779,8.07127e-06
0.589049,9.09905e-06
0.628319,1.01542e-05
0.667588,1.12295e-05
0.706858,1.23175e-05
0.746128,1.3411e-05
0.785398,1.45026e-05
0.824668,1.55852e-05
0.863938,1.66518e-05
0.903208,1.76957e-05
0.942478,1.87105e-05
0.981748,1.96901e-05
1.02102,2.06287e-05
1.06029,2.15214e-05
1.09956,2.23632e-05
1.13883,2.31502e-05
1.1781,2.38787e-05
1.21737,2.45459e-05
1.25664,2.51496e-05
1.29591,2.56882e-05
1.33518,2.61608e-05
1.37445,2.65675e-05
1.41372,2.69088e-05
1.45299,2.71861e-05
1.49226,2.74016e-05
1.53153,2.75582e-05
1.5708,2.76595e-05
1.61007,2.77099e-05
1.64934,2.77144e-05
1.68861,2.76787e-05
1.72788,2.76091e-05
1.76715,2.75125e-05
1.80642,2.73965e-05
1.84569,2.7269e-05
1.88496,2.71384e-05
1.92423,2.70136e-05
1.9635,2.69037e-05
2.00277,2.68182e-05
2.04204,2.67666e-05
2.08131,2.67588e-05
2.12058,2.68046e-05
2.15984,2.69139e-05
2.19911,2.70963e-05
2.23838,2.73615e-05
2.27765,2.77188e-05
2.31692,2.81774e-05
2.35619,2.8746e-05
2.39546,2.94328e-05
2.43473,3.02457e-05
2.474,3.11918e-05
2.51327,3.22777e-05
2.55254,3.35093e-05
2.59181,3.48918e-05
2.63108,3.64295e-05
2.67035,3.8126e-05
2.70962,3.99839e-05
2.74889,4.20049e-05
2.78816,4.419e-05
2.82743,4.65389e-05
2.8667,4.90505e-05
2.90597,5.17228e-05
2.94524,5.45527e-05
2.98451,5.75361e-05
3.02378,6.06679e-05
3.06305,6.39424e-05
3.10232,6.73525e-05
3.14159,7.08904e-05
3.18086,7.45477e-05
3.22013,7.83148e-05
3.2594,8.21815e-05
3.29867,8.6137e-05
3.33794,9.01697e-05
3.37721,9.42675e-05
3.41648,9.84179e-05
3.45575,0.000102608
3.49502,0.000106824
3.53429,0.000111052
3.57356,0.00011528
3.61283,0.000119492
3.6521,0.000123675
3.69137,0.000127816
3.73064,0.0001319
3.76991,0.000135914
3.80918,0.000139847
3.84845,0.000143684
3.88772,0.000147414
3.92699,0.000151026
3.96626,0.000154509
4.00553,0.000157854
4.0448,0.000161052
4.08407,0.000164094
4.12334,0.000166975
4.16261,0.000169688
4.20188,0.000172228
4.24115,0.000174592
4.28042,0.000176777
4.31969,0.000178784
4.35896,0.000180611
4.39823,0.00018226
4.4375,0.000183734
4.47677,0.000185038
4.51604,0.000186176
4.55531,0.000187154
