X,Y
-20,1.84446e-30
-19.9609,2.64821e-30
-19.9219,7.72197e-31
-19.8828,6.83092e-31
-19.8438,6.22666e-31
-19.8047,1.30109e-31
-19.7656,8.0658e-31
-19.7266,9.26688e-31
-19.6875,1.19485e-30
-19.6484,3.7373e-31
-19.6094,6.35728e-31
-19.5703,1.09391e-30
-19.5312,1.348e-30
-19.4922,3.68564e-31
-19.4531,3.91103e-31
-19.4141,2.83437e-31
-19.375,1.63206e-30
-19.3359,1.69934e-31
-19.2969,4.19853e-32
-19.2578,2.17715e-31
-19.2188,1.25322e-30
-19.1797,4.12585e-31
-19.1406,1.07587e-30
-19.1016,2.04946e-31
-19.0625,9.37026e-31
-19.0234,1.29396e-30
-18.9844,6.12978e-31
-18.9453,1.39619e-31
-18.9062,8.37588e-31
-18.8672,5.2626e-31
-18.8281,4.31002e-31
-18.7891,4.99297e-31
-18.75,8.51329e-32
-18.7109,1.1459e-31
-18.6719,9.97218e-31
-18.6328,4.18772e-31
-18.5938,7.64767e-31
-18.5547,5.14453e-31
-18.5156,4.71383e-31
-18.4766,4.9767e-31
-18.4375,2.05965e-30
-18.3984,6.64185e-30
-18.3594,6.69426e-30
-18.3203,4.0774e-30
-18.2812,6.06524e-31
-18.2422,1.47308e-31
-18.2031,2.08011e-31
-18.1641,5.20535e-31
-18.125,1.20836e-30
-18.0859,2.01367e-30
-18.0469,1.44668e-31
-18.0078,1.64228e-31
-17.9688,3.00087e-31
-17.9297,2.22861e-30
-17.8906,5.06541e-31
-17.8516,8.82284e-30
-17.8125,6.28188e-30
-17.7734,2.14148e-30
-17.7344,6.22977e-30
-17.6953,3.32223e-30
-17.6562,5.16572e-30
-17.6172,4.82273e-30
-17.5781,8.94372e-30
-17.5391,4.41846e-30
-17.5,1.99326e-30
-17.4609,4.58115e-30
-17.4219,3.41462e-30
-17.3828,2.28456e-30
-17.3438,6.13895e-31
-17.3047,1.79324e-30
-17.2656,1.95191e-32
-17.2266,4.95373e-31
-17.1875,1.18582e-30
-17.1484,2.82393e-31
-17.1094,6.81604e-31
-17.0703,1.03857e-30
-17.0312,7.31269e-33
-16.9922,1.92557e-30
-16.9531,1.97904e-30
-16.9141,2.15253e-30
-16.875,6.36768e-31
-16.8359,2.83758e-30
-16.7969,3.21149e-31
-16.7578,3.12478e-31
-16.7188,4.14153e-30
-16.6797,3.50443e-30
-16.6406,1.2198e-31
-16.6016,1.36591e-30
-16.5625,2.41443e-30
-16.5234,9.02826e-31
-16.4844,1.56753e-30
-16.4453,1.07471e-30
-16.4062,3.02199e-30
-16.3672,5.93155e-30
-16.3281,2.94234e-31
-16.2891,3.31731e-31
-16.25,1.14145e-30
-16.2109,1.75658e-30
-16.1719,4.67643e-31
-16.1328,4.93485e-32
-16.0938,5.46565e-30
-16.0547,1.47243e-30
-16.0156,2.03015e-30
-15.9766,7.85291e-30
-15.9375,8.30639e-31
-15.8984,1.01146e-30
-15.8594,9.46709e-32
-15.8203,9.55639e-31
-15.7812,1.92498e-30
-15.7422,1.23074e-30
-15.7031,9.36771e-30
-15.6641,1.34432e-30
-15.625,7.41242e-30
-15.5859,2.55417e-30
-15.5469,4.20347e-31
-15.5078,1.19528e-30
-15.4688,3.44968e-31
-15.4297,2.53377e-30
-15.3906,3.58513e-31
-15.3516,2.50812e-30
-15.3125,2.21876e-30
-15.2734,1.77885e-30
-15.2344,1.30634e-30
-15.1953,2.00923e-31
-15.1562,7.93263e-31
-15.1172,4.50347e-31
-15.0781,1.67224e-30
-15.0391,1.94979e-30
-15,1.84274e-30
-14.9609,1.68198e-30
-14.9219,2.42932e-30
-14.8828,1.54839e-30
-14.8438,1.3048e-30
-14.8047,1.64236e-30
-14.7656,7.6536e-31
-14.7266,4.18629e-31
-14.6875,2.15228e-31
-14.6484,9.63846e-31
-14.6094,5.79588e-31
-14.5703,1.61551e-30
-14.5312,3.25774e-31
-14.4922,3.67448e-31
-14.4531,4.48363e-31
-14.4141,2.72773e-30
-14.375,3.85729e-31
-14.3359,1.88205e-30
-14.2969,1.11675e-30
-14.2578,4.38836e-30
-14.2188,7.58551e-31
-14.1797,1.46538e-30
-14.1406,2.41533e-30
-14.1016,9.65053e-32
-14.0625,5.42654e-31
-14.0234,3.74302e-30
-13.9844,1.3639e-30
-13.9453,3.68335e-31
-13.9062,4.24398e-31
-13.8672,2.05949e-31
-13.8281,4.37437e-32
-13.7891,1.07737e-30
-13.75,1.64863e-30
-13.7109,2.78953e-31
-13.6719,2.18432e-30
-13.6328,5.01626e-31
-13.5938,3.40894e-30
-13.5547,1.10359e-30
-13.5156,1.71932e-30
-13.4766,3.06506e-30
-13.4375,2.32337e-30
-13.3984,1.12938e-30
-13.3594,4.81519e-31
-13.3203,2.68456e-30
-13.2812,2.43344e-30
-13.2422,1.02733e-29
-13.2031,5.42905e-30
-13.1641,1.0683e-30
-13.125,1.19054e-30
-13.0859,4.08744e-31
-13.0469,1.49854e-31
-13.0078,5.38117e-31
-12.9688,3.4787e-31
-12.9297,3.95033e-32
-12.8906,1.74187e-30
-12.8516,2.97557e-30
-12.8125,1.01813e-30
-12.7734,4.18923e-31
-12.7344,2.72474e-30
-12.6953,1.04043e-30
-12.6562,1.67542e-31
-12.6172,3.7825e-31
-12.5781,1.04255e-30
-12.5391,4.86166e-30
-12.5,2.00816e-30
-12.4609,2.0263e-30
-12.4219,6.19448e-31
-12.3828,1.92616e-31
-12.3438,8.4191e-31
-12.3047,2.56405e-30
-12.2656,5.2942e-31
-12.2266,8.57748e-31
-12.1875,2.28169e-31
-12.1484,1.35123e-30
-12.1094,9.66735e-31
-12.0703,1.21441e-30
-12.0312,1.62054e-30
-11.9922,3.33195e-30
-11.9531,8.25505e-31
-11.9141,1.08007e-30
-11.875,6.41699e-31
-11.8359,2.58137e-31
-11.7969,3.51312e-31
-11.7578,2.80809e-32
-11.7188,1.25705e-30
-11.6797,9.64183e-32
-11.6406,1.16213e-30
-11.6016,4.20862e-30
-11.5625,7.41193e-31
-11.5234,2.021e-30
-11.4844,2.81078e-31
-11.4453,5.775e-31
-11.4062,2.17021e-30
-11.3672,7.72243e-31
-11.3281,7.46218e-31
-11.2891,7.69134e-31
-11.25,1.2687e-30
-11.2109,2.80911e-31
-11.1719,2.15679e-30
-11.1328,2.27698e-30
-11.0938,1.0498e-30
-11.0547,3.59806e-30
-11.0156,7.93142e-31
-10.9766,2.92646e-31
-10.9375,1.94842e-30
-10.8984,2.539e-30
-10.8594,4.56133e-31
-10.8203,7.80647e-31
-10.7812,3.53344e-31
-10.7422,2.99243e-31
-10.7031,1.05457e-30
-10.6641,7.15546e-31
-10.625,1.29845e-30
-10.5859,3.84761e-30
-10.5469,3.85505e-31
-10.5078,7.61668e-31
-10.4688,1.27646e-30
-10.4297,3.32476e-30
-10.3906,4.41705e-31
-10.3516,7.03957e-31
-10.3125,1.59298e-30
-10.2734,1.39769e-30
-10.2344,3.83101e-30
-10.1953,1.25813e-30
-10.1562,8.97876e-31
-10.1172,8.39907e-31
-10.0781,9.14532e-31
-10.0391,9.41247e-31
-10,9.0146e-32
-9.96094,6.80834e-31
-9.92188,1.50185e-31
-9.88281,1.97684e-30
-9.84375,6.28709e-31
-9.80469,1.81922e-30
-9.76562,1.01487e-30
-9.72656,1.99587e-31
-9.6875,7.22369e-31
-9.64844,5.542e-31
-9.60938,2.5908e-30
-9.57031,3.78269e-30
-9.53125,1.97514e-30
-9.49219,3.04467e-31
-9.45312,8.1901e-31
-9.41406,3.70034e-32
-9.375,8.86855e-31
-9.33594,2.81632e-30
-9.29688,5.74719e-31
-9.25781,1.95955e-30
-9.21875,8.68655e-31
-9.17969,3.66058e-30
-9.14062,8.41969e-31
-9.10156,1.11454e-30
-9.0625,8.71587e-31
-9.02344,2.42988e-30
-8.98438,1.79507e-31
-8.94531,1.14857e-31
-8.90625,1.51077e-30
-8.86719,4.04116e-31
-8.82812,1.7585e-30
-8.78906,2.80555e-30
-8.75,8.0713e-31
-8.71094,1.47817e-31
-8.67188,4.41575e-31
-8.63281,3.96812e-31
-8.59375,1.34854e-30
-8.55469,2.57321e-30
-8.51562,1.05158e-31
-8.47656,2.97575e-31
-8.4375,2.52258e-30
-8.39844,4.18655e-31
-8.35938,7.94564e-31
-8.32031,1.18133e-30
-8.28125,9.90013e-31
-8.24219,1.87978e-30
-8.20312,1.13005e-31
-8.16406,6.05619e-30
-8.125,1.51693e-30
-8.08594,3.17305e-30
-8.04688,7.44718e-30
-8.00781,2.06878e-30
-7.96875,6.11822e-30
-7.92969,1.25286e-29
-7.89062,3.41614e-29
-7.85156,5.74663e-29
-7.8125,7.83441e-29
-7.77344,1.69735e-28
-7.73438,3.58004e-28
-7.69531,6.29602e-28
-7.65625,1.11755e-27
-7.61719,2.00047e-27
-7.57812,3.75285e-27
-7.53906,6.44586e-27
-7.5,1.14082e-26
-7.46094,2.06727e-26
-7.42188,3.69036e-26
-7.38281,6.51666e-26
-7.34375,1.16337e-25
-7.30469,2.04162e-25
-7.26562,3.60967e-25
-7.22656,6.35618e-25
-7.1875,1.1135e-24
-7.14844,1.94644e-24
-7.10938,3.39363e-24
-7.07031,5.89303e-24
-7.03125,1.02122e-23
-6.99219,1.76392e-23
-6.95312,3.03425e-23
-6.91406,5.20794e-23
-6.875,8.90339e-23
-6.83594,1.51838e-22
-6.79688,2.58163e-22
-6.75781,4.37555e-22
-6.71875,7.39383e-22
-6.67969,1.24559e-21
-6.64062,2.09199e-21
-6.60156,3.50282e-21
-6.5625,5.84726e-21
-6.52344,9.73083e-21
-6.48438,1.61449e-20
-6.44531,2.67057e-20
-6.40625,4.40384e-20
-6.36719,7.24013e-20
-6.32812,1.18666e-19
-6.28906,1.93905e-19
-6.25,3.15884e-19
-6.21094,5.13024e-19
-6.17188,8.30665e-19
-6.13281,1.34087e-18
-6.09375,2.15787e-18
-6.05469,3.46209e-18
-6.01562,5.53768e-18
-5.97656,8.83062e-18
-5.9375,1.40388e-17
-5.89844,2.22508e-17
-5.85938,3.51589e-17
-5.82031,5.53861e-17
-5.78125,8.69844e-17
-5.74219,1.36194e-16
-5.70312,2.12593e-16
-5.66406,3.30838e-16
-5.625,5.13284e-16
-5.58594,7.93917e-16
-5.54688,1.22424e-15
-5.50781,1.88207e-15
-5.46875,2.88456e-15
-5.42969,4.40757e-15
-5.39062,6.71418e-15
-5.35156,1.01968e-14
-5.3125,1.54386e-14
-5.27344,2.33039e-14
-5.23438,3.5069e-14
-5.19531,5.26132e-14
-5.15625,7.86938e-14
-5.11719,1.17344e-13
-5.07812,1.74445e-13
-5.03906,2.58542e-13
-5,3.82013e-13
-4.96094,5.62732e-13
-4.92188,8.26417e-13
-4.88281,1.20996e-12
-4.84375,1.76612e-12
-4.80469,2.57007e-12
-4.76562,3.72858e-12
-4.72656,5.39284e-12
-4.6875,7.7762e-12
-4.64844,1.11787e-11
-4.60938,1.60211e-11
-4.57031,2.28911e-11
-4.53125,3.26075e-11
-4.49219,4.63065e-11
-4.45312,6.55606e-11
-4.41406,9.25376e-11
-4.375,1.30217e-10
-4.33594,1.82682e-10
-4.29688,2.55503e-10
-4.25781,3.56264e-10
-4.21875,4.95248e-10
-4.17969,6.86355e-10
-4.14062,9.48309e-10
-4.10156,1.30625e-09
-4.0625,1.79381e-09
-4.02344,2.45586e-09
-3.98438,3.352e-09
-3.94531,4.56121e-09
-3.90625,6.18772e-09
-3.86719,8.36867e-09
-3.82812,1.12838e-08
-3.78906,1.51681e-08
-3.75,2.03274e-08
-3.71094,2.71586e-08
-3.67188,3.61749e-08
-3.63281,4.80377e-08
-3.59375,6.35963e-08
-3.55469,8.39375e-08
-3.51562,1.10447e-07
-3.47656,1.44887e-07
-3.4375,1.89486e-07
-3.39844,2.47058e-07
-3.35938,3.21142e-07
-3.32031,4.16168e-07
-3.28125,5.3767e-07
-3.24219,6.92527e-07
-3.20312,8.89268e-07
-3.16406,1.13842e-06
-3.125,1.45294e-06
-3.08594,1.8487e-06
-3.04688,2.3451e-06
-3.00781,2.96571e-06
-2.96875,3.73914e-06
-2.92969,4.6999e-06
-2.89062,5.88952e-06
-2.85156,7.35776e-06
-2.8125,9.16402e-06
-2.77344,1.13789e-05
-2.73438,1.40861e-05
-2.69531,1.73841e-05
-2.65625,2.1389e-05
-2.61719,2.62363e-05
-2.57812,3.2084e-05
-2.53906,3.91154e-05
-2.5,4.75426e-05
-2.46094,5.76092e-05
-2.42188,6.95944e-05
-2.38281,8.38169e-05
-2.34375,0.000100638
-2.30469,0.000120467
-2.26562,0.000143764
-2.22656,0.000171042
-2.1875,0.000202876
-2.14844,0.000239902
-2.10938,0.00028282
-2.07031,0.0003324
-2.03125,0.000389481
-1.99219,0.000454972
-1.95312,0.000529857
-1.91406,0.000615185
-1.875,0.000712078
-1.83594,0.00082172
-1.79688,0.000945352
-1.75781,0.00108427
-1.71875,0.00123981
-1.67969,0.00141335
-1.64062,0.00160626
-1.60156,0.00181994
-1.5625,0.00205577
-1.52344,0.00231507
-1.48438,0.00259913
-1.44531,0.00290915
-1.40625,0.00324623
-1.36719,0.00361132
-1.32812,0.00400523
-1.28906,0.00442857
-1.25,0.00488173
-1.21094,0.00536487
-1.17188,0.00587785
-1.13281,0.00642025
-1.09375,0.00699134
-1.05469,0.00759003
-1.01562,0.00821487
-0.976562,0.00886406
-0.9375,0.00953542
-0.898438,0.0102264
-0.859375,0.010934
-0.820312,0.0116549
-0.78125,0.0123855
-0.742188,0.0131218
-0.703125,0.0138596
-0.664062,0.0145942
-0.625,0.0153209
-0.585938,0.0160349
-0.546875,0.016731
-0.507812,0.0174041
-0.46875,0.0180492
-0.429688,0.0186611
-0.390625,0.019235
-0.351562,0.0197663
-0.3125,0.0202503
-0.273438,0.0206829
-0.234375,0.0210605
-0.195312,0.0213797
-0.15625,0.0216376
-0.117188,0.021832
-0.078125,0.021961
-0.0390625,0.0220235
0,0.022019
0.0390625,0.0219474
0.078125,0.0218095
0.117188,0.0216064
0.15625,0.0213401
0.195312,0.0210129
0.234375,0.0206277
0.273438,0.020188
0.3125,0.0196975
0.351562,0.0191604
0.390625,0.0185812
0.429688,0.0179647
0.46875,0.0173158
0.507812,0.0166395
0.546875,0.015941
0.585938,0.0152253
0.625,0.0144975
0.664062,0.0137625
0.703125,0.013025
