X,Y
-20,4.22078e-176
-19.9609,2.01055e-175
-19.9219,9.54799e-175
-19.8828,4.52047e-174
-19.8438,2.13368e-173
-19.8047,1.00404e-172
-19.7656,4.71028e-172
-19.7266,2.20301e-171
-19.6875,1.02722e-170
-19.6484,4.77509e-170
-19.6094,2.21297e-169
-19.5703,1.02246e-168
-19.5312,4.70964e-168
-19.4922,2.16275e-167
-19.4531,9.90145e-167
-19.4141,4.51925e-166
-19.375,2.0564e-165
-19.3359,9.32878e-165
-19.2969,4.21906e-164
-19.2578,1.90231e-163
-19.2188,8.55111e-163
-19.1797,3.83211e-162
-19.1406,1.71209e-161
-19.1016,7.62592e-161
-19.0625,3.38635e-160
-19.0234,1.49915e-159
-18.9844,6.61658e-159
-18.9453,2.91136e-158
-18.9062,1.27713e-157
-18.8672,5.5853e-157
-18.8281,2.43519e-156
-18.7891,1.05851e-155
-18.75,4.58703e-155
-18.7109,1.98172e-154
-18.6719,8.53548e-154
-18.6328,3.66512e-153
-18.5938,1.569e-152
-18.5547,6.69626e-152
-18.5156,2.84916e-151
-18.4766,1.20858e-150
-18.4375,5.11103e-150
-18.3984,2.15485e-149
-18.3594,9.0573e-149
-18.3203,3.79539e-148
-18.2812,1.58558e-147
-18.2422,6.60381e-147
-18.2031,2.74205e-146
-18.1641,1.13509e-145
-18.125,4.68449e-145
-18.0859,1.92738e-144
-18.0469,7.90582e-144
-18.0078,3.23297e-143
-17.9688,1.31804e-142
-17.9297,5.35715e-142
-17.8906,2.17076e-141
-17.8516,8.7693e-141
-17.8125,3.53177e-140
-17.7734,1.41806e-139
-17.7344,5.67638e-139
-17.6953,2.26529e-138
-17.6562,9.01258e-138
-17.6172,3.57479e-137
-17.5781,1.4136e-136
-17.5391,5.57282e-136
-17.5,2.19028e-135
-17.4609,8.58221e-135
-17.4219,3.35253e-134
-17.3828,1.30564e-133
-17.3438,5.06927e-133
-17.3047,1.9622e-132
-17.2656,7.57208e-132
-17.2266,2.91315e-131
-17.1875,1.11734e-130
-17.1484,4.27249e-130
-17.1094,1.62874e-129
-17.0703,6.1901e-129
-17.0312,2.3454e-128
-16.9922,8.85957e-128
-16.9531,3.33643e-127
-16.9141,1.25264e-126
-16.875,4.68863e-126
-16.8359,1.7496e-125
-16.7969,6.50889e-125
-16.7578,2.41407e-124
-16.7188,8.92622e-124
-16.6797,3.29048e-123
-16.6406,1.20928e-122
-16.6016,4.43065e-122
-16.5625,1.61839e-121
-16.5234,5.89351e-121
-16.4844,2.13963e-120
-16.4453,7.74425e-120
-16.4062,2.79443e-119
-16.3672,1.00527e-118
-16.3281,3.60535e-118
-16.2891,1.2891e-117
-16.25,4.59514e-117
-16.2109,1.633e-116
-16.1719,5.7856e-116
-16.1328,2.04355e-115
-16.0938,7.1961e-115
-16.0547,2.52629e-114
-16.0156,8.84188e-114
-15.9766,3.08518e-113
-15.9375,1.07322e-112
-15.8984,3.72199e-112
-15.8594,1.28687e-111
-15.8203,4.43577e-111
-15.7812,1.52432e-110
-15.7422,5.22229e-110
-15.7031,1.78369e-109
-15.6641,6.07367e-109
-15.625,2.06186e-108
-15.5859,6.97816e-108
-15.5469,2.35449e-107
-15.5078,7.92006e-107
-15.4688,2.65604e-106
-15.4297,8.88004e-106
-15.3906,2.95985e-105
-15.3516,9.83558e-105
-15.3125,3.2584e-104
-15.2734,1.07618e-103
-15.2344,3.54354e-103
-15.1953,1.16323e-102
-15.1562,3.80687e-102
-15.1172,1.24207e-101
-15.0781,4.04016e-101
-15.0391,1.31016e-100
-15,4.23571e-100
-14.9609,1.36522e-99
-14.9219,4.38686e-99
-14.8828,1.40533e-98
-14.8438,4.48827e-98
-14.8047,1.42907e-97
-14.7656,4.53632e-97
-14.7266,1.43558e-96
-14.6875,4.52925e-96
-14.6484,1.42462e-95
-14.6094,4.46732e-95
-14.5703,1.39659e-94
-14.5312,4.35278e-94
-14.4922,1.3525e-93
-14.4531,4.18972e-93
-14.4141,1.29392e-92
-14.375,3.98384e-92
-14.3359,1.22285e-91
-14.2969,3.74212e-91
-14.2578,1.14166e-90
-14.2188,3.47241e-90
-14.1797,1.05293e-89
-14.1406,3.18305e-89
-14.1016,9.59317e-89
-14.0625,2.8824e-88
-14.0234,8.6342e-88
-13.9844,2.57848e-87
-13.9453,7.67682e-87
-13.9062,2.27862e-86
-13.8672,6.74277e-86
-13.8281,1.9892e-85
-13.7891,5.85052e-85
-13.75,1.71548e-84
-13.7109,5.01475e-84
-13.6719,1.46147e-83
-13.6328,4.24622e-83
-13.5938,1.22996e-82
-13.5547,3.55184e-82
-13.5156,1.02257e-81
-13.4766,2.93497e-81
-13.4375,8.3983e-81
-13.3984,2.39581e-80
-13.3594,6.8138e-80
-13.3203,1.93197e-79
-13.2812,5.46117e-79
-13.2422,1.53903e-78
-13.2031,4.32395e-78
-13.1641,1.21113e-77
-13.125,3.38201e-77
-13.0859,9.41529e-77
-13.0469,2.61317e-76
-13.0078,7.23061e-76
-12.9688,1.99461e-75
-12.9297,5.48549e-75
-12.8906,1.504e-74
-12.8516,4.11106e-74
-12.8125,1.1203e-73
-12.7734,3.04362e-73
-12.7344,8.24369e-73
-12.6953,2.22601e-72
-12.6562,5.99248e-72
-12.6172,1.60828e-71
-12.5781,4.30319e-71
-12.5391,1.14787e-70
-12.5,3.05262e-70
-12.4609,8.09329e-70
-12.4219,2.13921e-69
-12.3828,5.63709e-69
-12.3438,1.48092e-68
-12.3047,3.87868e-68
-12.2656,1.01277e-67
-12.2266,2.6364e-67
-12.1875,6.84205e-67
-12.1484,1.77026e-66
-12.1094,4.56627e-66
-12.0703,1.17425e-65
-12.0312,3.01047e-65
-11.9922,7.69455e-65
-11.9531,1.96068e-64
-11.9141,4.98086e-64
-11.875,1.26147e-63
-11.8359,3.18511e-63
-11.7969,8.01764e-63
-11.7578,2.01207e-62
-11.7188,5.03401e-62
-11.6797,1.25562e-61
-11.6406,3.12234e-61
-11.6016,7.74061e-61
-11.5625,1.91313e-60
-11.5234,4.714e-60
-11.4844,1.158e-59
-11.4453,2.83597e-59
-11.4062,6.92421e-59
-11.3672,1.68544e-58
-11.3281,4.09007e-58
-11.2891,9.89516e-58
-11.25,2.38666e-57
-11.2109,5.73893e-57
-11.1719,1.37577e-56
-11.1328,3.28805e-56
-11.0938,7.83436e-56
-11.0547,1.86099e-55
-11.0156,4.40715e-55
-10.9766,1.04051e-54
-10.9375,2.44913e-54
-10.8984,5.74711e-54
-10.8594,1.34451e-53
-10.8203,3.13582e-53
-10.7812,7.29144e-53
-10.7422,1.69025e-52
-10.7031,3.90627e-52
-10.6641,9.00013e-52
-10.625,2.06733e-51
-10.5859,4.73419e-51
-10.5469,1.08083e-50
-10.5078,2.46003e-50
-10.4688,5.58213e-50
-10.4297,1.2628e-49
-10.3906,2.84802e-49
-10.3516,6.40364e-49
-10.3125,1.43544e-48
-10.2734,3.20788e-48
-10.2344,7.14702e-48
-10.1953,1.58748e-47
-10.1562,3.51531e-47
-10.1172,7.7606e-47
-10.0781,1.70805e-46
-10.0391,3.74785e-46
-10,8.19855e-46
-9.96094,1.788e-45
-9.92188,3.88751e-45
-9.88281,8.42656e-45
-9.84375,1.82098e-44
-9.80469,3.92313e-44
-9.76562,8.42628e-44
-9.72656,1.80432e-43
-9.6875,3.85182e-43
-9.64844,8.19772e-43
-9.60938,1.73938e-42
-9.57031,3.67935e-42
-9.53125,7.75928e-42
-9.49219,1.63135e-41
-9.45312,3.41938e-41
-9.41406,7.14533e-41
-9.375,1.48858e-40
-9.33594,3.09169e-40
-9.29688,6.40169e-40
-9.25781,1.3215e-39
-9.21875,2.71967e-39
-9.17969,5.58006e-39
-9.14062,1.14139e-38
-9.10156,2.3276e-38
-9.0625,4.7321e-38
-9.02344,9.59126e-38
-8.98438,1.93808e-37
-8.94531,3.90429e-37
-8.90625,7.84128e-37
-8.86719,1.57003e-36
-8.82812,3.13402e-36
-8.78906,6.23692e-36
-8.75,1.23741e-35
-8.71094,2.44755e-35
-8.67188,4.82642e-35
-8.63281,9.48839e-35
-8.59375,1.85967e-34
-8.55469,3.63372e-34
-8.51562,7.07853e-34
-8.47656,1.3747e-33
-8.4375,2.66165e-33
-8.39844,5.13766e-33
-8.35938,9.8868e-33
